booking_id,guest_id,booking_date,check_in_date,check_out_date,room_type_id,rate_code_id,channel_id,segment_id,status,total_room_revenue,number_of_rooms,adults_count,children_count
RES-10040,G-2500,2026-03-31,2026-03-31,2026-04-02,RT_SUI,RC_CORP,CH_WALK,Business,Confirmed,720,1,1,0
RES-12017,G-2109,2026-03-25,2026-03-31,2026-04-01,RT_SUI,RC_RACK,CH_DIR,Business,Checked-Out,450,1,2,0
RES-12092,G-4061,2026-01-19,2026-03-31,2026-04-07,RT_DK,RC_PROMO,CH_WALK,Leisure,Checked-Out,1225,1,2,0
RES-13673,G-2283,2026-03-25,2026-03-31,2026-04-04,RT_SQ,RC_NONREF,CH_CORP,Transient,Checked-Out,510,1,2,1
RES-14099,G-1201,2026-03-25,2026-03-31,2026-04-04,RT_OV,RC_RACK,CH_DIR,Transient,Checked-Out,1400,1,1,1
RES-14335,G-1656,2026-03-27,2026-03-31,2026-04-02,RT_SQ,RC_CORP,CH_GDS,Business,No-Show,0,1,1,0
RES-15326,G-4523,2026-03-29,2026-03-31,2026-04-02,RT_SQ,RC_CORP,CH_GDS,Business,Confirmed,240,1,2,1
RES-15357,G-1524,2026-03-02,2026-03-31,2026-04-07,RT_OV,RC_RACK,CH_OTA,Leisure,Cancelled,0,1,2,1
RES-16466,G-2943,2026-03-29,2026-03-31,2026-04-02,RT_SUI,RC_CORP,CH_DIR,Business,Checked-Out,720,1,1,1
RES-16917,G-3052,2026-03-07,2026-03-31,2026-04-02,RT_OV,RC_PROMO,CH_DIR,Transient,Checked-Out,490,1,1,1
RES-17082,G-2956,2026-03-30,2026-03-31,2026-04-01,RT_SUI,RC_CORP,CH_GDS,Business,Cancelled,0,1,2,1
RES-17452,G-4792,2026-03-26,2026-03-31,2026-04-02,RT_DK,RC_CORP,CH_DIR,Business,Checked-Out,400,1,1,0
RES-18103,G-3999,2026-03-31,2026-03-31,2026-04-02,RT_DK,RC_RACK,CH_CORP,Business,Cancelled,0,1,1,1
RES-18143,G-4039,2026-03-09,2026-03-31,2026-04-05,RT_SUI,RC_RACK,CH_WALK,Leisure,Checked-Out,2250,1,1,0
RES-18487,G-2605,2026-02-28,2026-03-31,2026-04-05,RT_OV,RC_RACK,CH_WALK,Leisure,Confirmed,1750,1,2,1
RES-18853,G-1240,2026-01-14,2026-03-31,2026-04-04,RT_OV,RC_PROMO,CH_OTA,Leisure,Cancelled,0,1,2,0
RES-19292,G-2094,2026-01-12,2026-03-31,2026-04-05,RT_SUI,RC_PROMO,CH_OTA,Leisure,Checked-Out,1575,1,2,0
RES-19318,G-3140,2026-01-25,2026-03-31,2026-04-05,RT_SQ,RC_PROMO,CH_GDS,Leisure,Checked-Out,525,1,2,0
RES-11339,G-1441,2026-03-30,2026-03-30,2026-04-01,RT_DK,RC_RACK,CH_DIR,Business,No-Show,0,1,1,1
RES-11822,G-1993,2026-03-25,2026-03-30,2026-04-03,RT_SUI,RC_RACK,CH_GDS,Wholesale,Cancelled,0,1,1,1
RES-12497,G-2692,2026-03-27,2026-03-30,2026-03-31,RT_SQ,RC_CORP,CH_OTA,Business,Cancelled,0,1,2,0
RES-13137,G-4601,2026-02-02,2026-03-30,2026-04-06,RT_SQ,RC_PROMO,CH_GDS,Leisure,Checked-Out,735,1,2,1
RES-13568,G-3675,2026-03-25,2026-03-30,2026-04-03,RT_SUI,RC_RACK,CH_OTA,Transient,Checked-Out,1800,1,1,0
RES-15174,G-3480,2026-03-22,2026-03-30,2026-04-01,RT_SQ,RC_NONREF,CH_WALK,Transient,Checked-Out,255,1,1,0
RES-16483,G-3231,2026-02-16,2026-03-30,2026-04-02,RT_SUI,RC_PROMO,CH_GDS,Leisure,Confirmed,945,1,1,1
RES-16873,G-4552,2026-02-05,2026-03-30,2026-04-02,RT_DK,RC_PROMO,CH_OTA,Leisure,Checked-Out,525,1,2,0
RES-17046,G-3431,2026-03-10,2026-03-30,2026-04-02,RT_OV,RC_RACK,CH_WALK,Group,Checked-Out,1050,1,1,0
RES-17297,G-1891,2026-02-15,2026-03-30,2026-04-05,RT_SQ,RC_PROMO,CH_GDS,Leisure,Checked-Out,630,1,1,0
RES-17959,G-4837,2026-03-17,2026-03-30,2026-04-02,RT_OV,RC_CORP,CH_DIR,Group,Checked-Out,840,1,2,0
RES-18250,G-4560,2026-03-24,2026-03-30,2026-04-01,RT_OV,RC_CORP,CH_DIR,Business,Checked-Out,560,1,1,1
RES-18363,G-4113,2026-02-18,2026-03-30,2026-04-06,RT_OV,RC_RACK,CH_WALK,Leisure,Checked-Out,2450,1,2,1
RES-18434,G-4437,2026-03-30,2026-03-30,2026-04-01,RT_SUI,RC_CORP,CH_OTA,Business,Checked-Out,720,1,2,0
RES-19261,G-3643,2026-03-04,2026-03-30,2026-04-02,RT_SUI,RC_PROMO,CH_WALK,Leisure,Checked-Out,945,1,2,0
RES-19842,G-1777,2026-03-28,2026-03-30,2026-03-31,RT_SUI,RC_CORP,CH_GDS,Business,Checked-Out,360,1,1,1
RES-10165,G-2243,2026-01-31,2026-03-29,2026-04-04,RT_OV,RC_PROMO,CH_DIR,Leisure,Checked-Out,1470,1,2,1
RES-10721,G-4644,2026-03-27,2026-03-29,2026-03-31,RT_DK,RC_CORP,CH_GDS,Business,Checked-Out,400,1,1,1
RES-10743,G-3713,2026-03-14,2026-03-29,2026-03-30,RT_DK,RC_CORP,CH_GDS,Transient,Checked-Out,200,1,1,1
RES-11161,G-4120,2026-02-04,2026-03-29,2026-04-01,RT_SQ,RC_RACK,CH_GDS,Leisure,Checked-Out,450,1,1,0
RES-11943,G-2050,2026-03-08,2026-03-29,2026-04-04,RT_SUI,RC_PROMO,CH_GDS,Leisure,Checked-Out,1890,1,1,1
RES-12131,G-2982,2026-03-29,2026-03-29,2026-03-31,RT_SQ,RC_CORP,CH_GDS,Business,Confirmed,240,1,1,1
RES-12388,G-4018,2026-03-09,2026-03-29,2026-04-04,RT_SQ,RC_PROMO,CH_CORP,Leisure,No-Show,0,1,1,1
RES-12661,G-4061,2026-02-08,2026-03-29,2026-04-03,RT_SUI,RC_RACK,CH_GDS,Leisure,Checked-Out,2250,1,2,1
RES-12948,G-1163,2026-01-17,2026-03-29,2026-04-05,RT_DK,RC_RACK,CH_DIR,Leisure,No-Show,0,1,2,0
RES-13361,G-1137,2026-03-19,2026-03-29,2026-03-31,RT_SQ,RC_CORP,CH_OTA,Group,Checked-Out,240,1,2,0
RES-13388,G-4145,2026-03-25,2026-03-29,2026-03-30,RT_DK,RC_CORP,CH_OTA,Business,Checked-Out,200,1,2,0
RES-13521,G-1197,2026-03-19,2026-03-29,2026-04-01,RT_OV,RC_PROMO,CH_OTA,Transient,Cancelled,0,1,2,0
RES-14823,G-1972,2026-03-26,2026-03-29,2026-03-31,RT_SQ,RC_RACK,CH_GDS,Business,Checked-Out,300,1,2,0
RES-15271,G-2856,2026-02-12,2026-03-29,2026-04-02,RT_SUI,RC_PROMO,CH_OTA,Leisure,Checked-Out,1260,1,2,0
RES-15513,G-1559,2026-03-23,2026-03-29,2026-03-30,RT_OV,RC_CORP,CH_WALK,Business,Checked-Out,280,1,1,1
RES-15603,G-2459,2026-03-19,2026-03-29,2026-04-01,RT_SUI,RC_RACK,CH_WALK,Transient,Checked-Out,1350,1,2,0
RES-15887,G-2337,2026-02-17,2026-03-29,2026-04-01,RT_SUI,RC_PROMO,CH_WALK,Leisure,Confirmed,945,1,2,0
RES-15907,G-2167,2026-01-30,2026-03-29,2026-04-03,RT_DK,RC_PROMO,CH_GDS,Leisure,Cancelled,0,1,2,0
RES-16209,G-3254,2026-01-09,2026-03-29,2026-04-04,RT_SQ,RC_RACK,CH_GDS,Leisure,Checked-Out,900,1,2,1
RES-16383,G-4339,2026-03-23,2026-03-29,2026-03-31,RT_OV,RC_RACK,CH_OTA,Business,Checked-Out,700,1,1,1
RES-16546,G-1269,2026-03-26,2026-03-29,2026-03-31,RT_SUI,RC_RACK,CH_DIR,Business,Checked-Out,900,1,1,1
RES-17031,G-1985,2026-03-06,2026-03-29,2026-04-04,RT_OV,RC_RACK,CH_WALK,Leisure,Checked-Out,2100,1,1,1
RES-17049,G-4470,2026-02-05,2026-03-29,2026-04-01,RT_SUI,RC_RACK,CH_WALK,Leisure,Checked-Out,1350,1,1,0
RES-17137,G-3710,2026-03-06,2026-03-29,2026-04-01,RT_DK,RC_PROMO,CH_WALK,Group,Confirmed,525,1,1,1
RES-17386,G-2032,2026-03-10,2026-03-29,2026-04-05,RT_SUI,RC_PROMO,CH_OTA,Leisure,Checked-Out,2205,1,1,0
RES-17597,G-3708,2026-02-05,2026-03-29,2026-04-05,RT_SUI,RC_PROMO,CH_GDS,Leisure,Checked-Out,2205,1,1,0
RES-18411,G-2912,2026-03-15,2026-03-29,2026-04-02,RT_SQ,RC_PROMO,CH_OTA,Leisure,Checked-Out,420,1,1,1
RES-18931,G-4462,2026-02-15,2026-03-29,2026-04-01,RT_SUI,RC_PROMO,CH_GDS,Leisure,Checked-Out,945,1,1,1
RES-19176,G-1665,2026-02-14,2026-03-29,2026-04-01,RT_DK,RC_RACK,CH_OTA,Leisure,Confirmed,750,1,2,1
RES-19340,G-1363,2026-03-28,2026-03-29,2026-03-31,RT_DK,RC_CORP,CH_WALK,Business,Checked-Out,400,1,2,1
RES-19899,G-3266,2026-03-11,2026-03-29,2026-04-02,RT_DK,RC_AAA,CH_WALK,Transient,Checked-Out,900,1,2,1
RES-10089,G-3491,2026-01-19,2026-03-28,2026-04-02,RT_SQ,RC_PROMO,CH_OTA,Leisure,Cancelled,0,1,2,1
